pitch start end duration velocity
C3 0.0179 0.9033 0.8854 94
C4 0.0179 2.4316 2.4137 94
G6 2.5081 2.9508 0.4427 104
D6 2.5098 2.8825 0.3727 106
C4 2.5098 3.6491 1.1393 91
D#6 2.6676 3.0713 0.4036 98
C6 2.8239 3.1901 0.3662 92
D6 3.1364 3.5124 0.3760 100
G6 3.1364 3.6816 0.5452 99
D#6 3.2926 3.7728 0.4801 87
C6 3.4489 3.7516 0.3027 86
G5 3.7646 3.9290 0.1644 100
C6 3.7646 4.3815 0.6169 100
G#3 3.7679 4.8877 1.1198 89
G#5 3.9176 4.4027 0.4850 92
F5 4.0739 4.4206 0.3467 101
G5 4.3864 4.5492 0.1628 97
C6 4.3864 5.0326 0.6462 98
G#5 4.5426 4.9935 0.4508 91
F5 4.6989 4.9967 0.2979 91
D6 5.0098 5.6315 0.6217 105
A5 5.0130 5.1546 0.1416 98
G3 5.0146 6.1442 1.1296 96
B5 5.1676 6.1605 0.9928 84
G5 5.3239 5.6315 0.3076 93
G5 5.6364 5.9408 0.3044 98
D6 5.6364 5.9505 0.3141 101
G5 5.9489 6.1377 0.1888 89
D5 5.9505 6.2207 0.2702 83
D#5 6.1051 6.2728 0.1676 83
C3 6.2614 7.4040 1.1426 90
C5 6.2630 6.7904 0.5273 93
G5 6.5739 7.4202 0.8464 99
D5 6.5755 6.7285 0.1530 93
D#5 6.7285 6.8945 0.1660 86
C5 6.8864 7.5814 0.6950 90
G6 7.5098 8.1315 0.6217 106
C4 7.5098 8.6702 1.1605 97
D6 7.5114 7.9508 0.4395 106
D#6 7.6676 8.1527 0.4850 99
C6 7.8239 8.2113 0.3874 95
G6 8.1364 8.4408 0.3044 98
D6 8.1364 8.5400 0.4036 100
D#6 8.2926 8.7061 0.4134 90
G6 8.4473 8.9209 0.4736 93
C6 8.6068 8.7516 0.1449 86
C6 8.7630 9.3815 0.6185 100
G5 8.7646 9.2301 0.4655 101
G#3 8.7679 10.0146 1.2467 91
G#5 8.9176 9.3978 0.4801 96
F5 9.0739 9.3978 0.3239 99
G5 9.3864 9.5589 0.1725 104
C6 9.3864 9.6908 0.3044 105
G#5 9.5426 10.0326 0.4899 85
C6 9.6989 10.0081 0.3092 99
F5 9.8568 10.0179 0.1611 101
D6 10.0098 10.6315 0.6217 104
A5 10.0130 11.0921 1.0791 100
G3 10.0146 11.1377 1.1230 96
A6 10.0179 10.1416 0.1237 92
B5 10.1676 11.1328 0.9652 85
